EN,JP
are,be の 2 人称単数・各人称の複数・直説法・現在形
want,したい(と思う)
want,(…が)欲しい
want,用事で捜している
want,もらいた(くな)い
want,ほしいと思う
want,望む
want,用事がある
want,欲する
want,(…を)望む
want,(…が)望む
sleep,静まっている
sleep,葬られている
sleep,寝る
sleep,おさまっている
sleep,活動しない
sleep,眠る
sleep,永眠する
sleep,澄む
sleep,(…に)泊まる
sleep,静止しているように見える
little,年少の
little,子供じみた
little,(形状・規模の)小さい
little,卑劣な
little,つまらない
little,若い
little,重要でない人々
little,短い
little,けちな
little,(小さくて)かわいらしい
eat,食ってあける
eat,浸食する
eat,(…を)食べてなる
eat,(…を)常食としている
eat,なめ尽くす
eat,(スプーンを用いて)飲む
eat,食べる
eat,腐食する
eat,(…を)食べる
eat,食い荒らす
tonight,今夜(は)
want,したい(と思う)
want,(…が)欲しい
want,用事で捜している
want,もらいた(くな)い
want,ほしいと思う
want,望む
want,用事がある
want,欲する
want,(…を)望む
want,(…が)望む
eat,食ってあける
eat,浸食する
eat,(…を)食べてなる
eat,(…を)常食としている
eat,なめ尽くす
eat,(スプーンを用いて)飲む
eat,食べる
eat,腐食する
eat,(…を)食べる
eat,食い荒らす
hot,出たばかりの
hot,ほてる
hot,最新の
hot,できたての
hot,熱くして食べる
hot,温度の高い
hot,(身体が)熱がある
hot,(温度上「冷たい」に対して)熱い
hot,(気温上「寒い」に対して)暑い
hot,熱くした
pot,(子供用の)便器
pot,おまる
pot,共同資金
pot,(ポーカーなどで賭(か)ける)総賭け金
pot,(スポーツで賞として贈られる)銀賞杯
pot,ポット
pot,大金
pot,寝室用便器
pot,ポット 1 杯分
pot,カップ
See,見よ
See,(…を)確かめる
See,調べる
See,よく見る
See,(…が)見る
See,(…を)見る
See,(視覚に映るの意で)見る
See,参照せよ
See,(…が)見える
See,確かめる
